Unnamed: 0,Supplier Name,Region,Country,Function,Service,Avg. Cost,Rating,Average Delivery Time,Number of escalations,Year,Resources,Score
0,Walmart,APAC,China,HR,Telecommunications services,266900,76,313,252,2015,4262,47
1,Walmart,APAC,Singapore,HR,Telecommunications services,110300,78,186,215,2016,1088,68
2,Walmart,APAC,Australia,HR,Telecommunications services,496600,89,414,230,2017,6977,32
3,Walmart,Europe,Switzerland,HR,Telecommunications services,491800,87,438,166,2018,2546,44
4,Walmart,Europe,France,HR,Telecommunications services,226400,83,305,293,2019,4592,47
5,Walmart,APAC,China,HR,Telecommunications services,350800,71,99,105,2020,3540,63
6,Walmart,APAC,Singapore,HR,Software & Programming,446500,90,463,176,2015,8291,33
7,Walmart,North America,US,HR,Software & Programming,226100,79,325,97,2016,5605,56
8,Walmart,APAC,India,HR,Software & Programming,106700,81,138,71,2017,7869,67
9,Walmart,APAC,UAE,HR,Software & Programming,363500,85,104,61,2018,2338,70
10,Walmart,Europe,Switzerland,HR,Software & Programming,319600,78,472,70,2019,8155,43
11,Walmart,APAC,UAE,HR,Software & Programming,371500,89,203,269,2020,3371,51
12,Walmart,APAC,Australia,HR,Semiconductors,334500,90,480,52,2015,7123,48
13,Walmart,APAC,Australia,HR,Semiconductors,222500,70,220,32,2016,1067,72
14,Walmart,APAC,South Korea,HR,Semiconductors,189600,87,170,129,2017,6804,61
15,Walmart,Europe,France,HR,Semiconductors,281500,80,154,135,2018,9938,50
16,Walmart,Europe,Switzerland,HR,Semiconductors,429500,70,409,67,2019,1802,52
17,Walmart,Europe,Germany,HR,Semiconductors,493500,71,392,59,2020,6836,41
18,Walmart,APAC,Singapore,HR,Recreational Products,289400,80,406,291,2015,2348,44
19,Walmart,APAC,UAE,HR,Recreational Products,465200,86,341,238,2016,8500,32
20,Walmart,North America,Canada,HR,Recreational Products,407200,83,228,147,2017,7754,46
21,Walmart,APAC,South Korea,HR,Recreational Products,120700,85,267,109,2018,9316,56
22,Walmart,APAC,Indonesia,HR,Recreational Products,410200,77,280,217,2019,5401,43
23,Walmart,APAC,Indonesia,HR,Recreational Products,115100,77,461,221,2020,8439,41
24,Walmart,Europe,Norway,HR,Internet & Catalog Retail,249200,82,313,234,2015,7842,43
25,Walmart,APAC,Taiwan,HR,Internet & Catalog Retail,312500,87,318,93,2016,6696,53
26,Walmart,Europe,Norway,HR,Internet & Catalog Retail,360400,73,338,190,2017,2254,50
27,Walmart,APAC,Saudi Arabia,HR,Internet & Catalog Retail,253100,78,181,215,2018,3968,56
28,Walmart,APAC,Taiwan,HR,Internet & Catalog Retail,298200,82,379,59,2019,5705,54
29,Walmart,APAC,Japan,HR,Internet & Catalog Retail,349700,82,347,91,2020,3413,56
30,Walmart,APAC,China,HR,Health Care Equipment & Svcs,167900,95,294,55,2015,6834,64
31,Walmart,APAC,Japan,HR,Health Care Equipment & Svcs,493900,88,246,239,2016,1539,50
32,Walmart,APAC,South Korea,HR,Health Care Equipment & Svcs,448400,81,248,273,2017,7706,35
33,Walmart,APAC,India,HR,Health Care Equipment & Svcs,104900,75,204,67,2018,6353,66
34,Walmart,Europe,Switzerland,HR,Health Care Equipment & Svcs,290200,81,223,46,2019,1679,70
35,Walmart,APAC,Taiwan,HR,Health Care Equipment & Svcs,111900,72,119,201,2020,7435,57
36,Walmart,Europe,Germany,HR,Electronics,163700,75,132,153,2015,5296,63
37,Walmart,APAC,China,HR,Electronics,266300,84,296,209,2016,9971,41
38,Walmart,North America,Canada,HR,Electronics,165700,70,380,207,2017,6377,46
39,Walmart,APAC,UAE,HR,Electronics,227100,91,378,146,2018,3392,58
40,Walmart,APAC,Australia,HR,Electronics,279500,86,372,73,2019,1045,64
41,Walmart,APAC,Japan,HR,Electronics,281000,83,93,58,2020,6110,66
42,Walmart,North America,Canada,HR,Electrical Equipment,492900,83,469,85,2015,8451,36
43,Walmart,APAC,Singapore,HR,Electrical Equipment,146800,82,351,176,2016,9350,46
44,Walmart,North America,US,HR,Electrical Equipment,159100,72,410,65,2017,5994,55
45,Walmart,APAC,India,HR,Electrical Equipment,169100,82,202,94,2018,6290,63
46,Walmart,Europe,Germany,HR,Electrical Equipment,314700,88,177,164,2019,6566,54
47,Walmart,APAC,Saudi Arabia,HR,Electrical Equipment,299600,90,185,47,2020,1238,74
48,Walmart,Europe,France,HR,Consumer Financial Services,310400,74,434,72,2015,4446,51
49,Walmart,APAC,Australia,HR,Consumer Financial Services,201400,78,407,58,2016,3730,60
50,Walmart,Europe,Norway,HR,Consumer Financial Services,297200,86,418,109,2017,6091,49
51,Walmart,Europe,Netherlands,HR,Consumer Financial Services,382000,75,325,79,2018,8490,45
52,Walmart,Europe,Netherlands,HR,Consumer Financial Services,103800,74,161,122,2019,4843,67
53,Walmart,APAC,Singapore,HR,Consumer Financial Services,174900,94,153,225,2020,5059,61
54,Walmart,Europe,Netherlands,HR,Computer Services,276200,95,324,58,2015,7952,56
55,Walmart,Europe,Netherlands,HR,Computer Services,202100,87,276,140,2016,8225,53
56,Walmart,Europe,Germany,HR,Computer Services,113700,72,160,91,2017,5650,67
57,Walmart,APAC,UAE,HR,Computer Services,128800,85,105,222,2018,4389,65
58,Walmart,North America,Canada,HR,Computer Services,415700,77,175,112,2019,1669,61
59,Walmart,APAC,Taiwan,HR,Computer Services,142000,70,121,272,2020,5411,55
60,Walmart,APAC,UAE,HR,Computer Hardware,450000,90,110,158,2015,1659,63
61,Walmart,Europe,Germany,HR,Computer Hardware,416700,94,347,275,2016,6896,37
62,Walmart,North America,US,HR,Computer Hardware,212400,83,316,259,2017,1068,56
63,Walmart,Europe,Switzerland,HR,Computer Hardware,359300,95,126,75,2018,3885,68
64,Walmart,North America,Canada,HR,Computer Hardware,411500,73,233,276,2019,7731,35
65,Walmart,Europe,Germany,HR,Computer Hardware,386900,74,464,239,2020,7401,30
66,Walmart,North America,Canada,HR,Communications Equipment,213900,73,102,161,2015,9758,52
67,Walmart,Europe,Germany,HR,Communications Equipment,136600,78,280,134,2016,1494,67
68,Walmart,APAC,China,HR,Communications Equipment,101400,86,96,166,2017,7476,64
69,Walmart,APAC,India,HR,Communications Equipment,203400,85,201,64,2018,4182,69
70,Walmart,APAC,Japan,HR,Communications Equipment,297700,89,460,189,2019,9861,35
71,Walmart,Europe,Norway,HR,Communications Equipment,225400,92,127,297,2020,5752,54
72,Walmart,Europe,Netherlands,HR,Business & Personal Services,241800,71,254,241,2015,2894,53
73,Walmart,Europe,Norway,HR,Business & Personal Services,276900,88,239,158,2016,7993,51
74,Walmart,APAC,Taiwan,HR,Business & Personal Services,185400,84,442,181,2017,2817,54
75,Walmart,Europe,Germany,HR,Business & Personal Services,497200,81,113,38,2018,5268,59
76,Walmart,Europe,Switzerland,HR,Business & Personal Services,319600,77,436,167,2019,3035,48
77,Walmart,APAC,Taiwan,HR,Business & Personal Services,230300,71,308,134,2020,7409,49
78,Walmart,APAC,UAE,HR,Broadcasting & Cable,480100,85,180,175,2015,4322,51
79,Walmart,North America,Canada,HR,Broadcasting & Cable,462700,78,263,58,2016,6270,51
80,Walmart,APAC,Saudi Arabia,HR,Broadcasting & Cable,155100,81,236,133,2017,6920,58
81,Walmart,North America,US,HR,Broadcasting & Cable,449900,90,154,166,2018,6236,51
82,Walmart,Europe,Germany,HR,Broadcasting & Cable,449300,87,366,185,2019,4661,43
83,Walmart,APAC,India,HR,Broadcasting & Cable,143100,80,369,86,2020,3770,62
